alpha_rad,FI
5.254610084905132067e-02,9.313638945449904949e-02
6.054110318043851025e-02,1.224457791544749652e-01
6.853610551182569288e-02,1.552158853489601642e-01
7.653110784321287552e-02,1.912042388847182417e-01
8.452611017460007203e-02,2.301538163252732638e-01
9.252111250598726855e-02,2.717971869519763550e-01
1.005161148373744373e-01,3.158605555576190493e-01
1.085111171687616338e-01,3.924646210871676755e-01
1.165061195001488303e-01,4.440542355424371701e-01
1.245011218315359991e-01,4.972311609237749508e-01
1.324961241629231956e-01,5.517024378832022791e-01
1.404911264943103921e-01,6.071878399631622791e-01
1.484861288256975609e-01,6.634221151912220726e-01
1.564811311570847574e-01,7.201561343237772306e-01
1.644761334884719539e-01,8.153300131011970153e-01
1.724711358198591504e-01,8.743810557393730809e-01
1.804661381512463192e-01,9.331810841146687130e-01
1.884611404826335157e-01,9.915500392571621191e-01
1.964561428140206845e-01,1.049328457127610692e+00
2.044511451454078810e-01,1.106375768345677635e+00
2.124461474767950775e-01,1.210232824731260148e+00
2.204411498081822463e-01,1.266589055231139849e+00
2.284361521395694428e-01,1.321781887364977592e+00
2.364311544709566393e-01,1.375742771778589946e+00
2.444261568023438080e-01,1.428416382750949065e+00
2.524211591337310323e-01,1.479760946274062183e+00
2.604161614651182011e-01,1.529745447702027583e+00
2.684111637965054253e-01,1.631982841498096359e+00
2.764061661278925941e-01,1.679526267567581943e+00
2.844011684592797629e-01,1.725598735802094108e+00
2.923961707906669871e-01,1.770209720415856225e+00
3.003911731220541559e-01,1.813373453836610638e+00
3.083861754534413246e-01,1.855109570442542877e+00
3.163811777848284934e-01,1.943886256510708677e+00
3.243761801162157177e-01,1.982744715505243560e+00
3.323711824476028864e-01,2.020219807499322062e+00
3.403661847789900552e-01,2.056346284750546705e+00
3.483611871103772795e-01,2.091160588662680286e+00
3.563561894417644482e-01,2.124699526468034616e+00
3.643511917731516170e-01,2.157001030566388255e+00
3.723461941045388413e-01,2.235782799967137802e+00
3.803411964359260100e-01,2.265360777844336759e+00
3.883361987673131788e-01,2.293805430919253485e+00
3.963312010987004030e-01,2.321155817312797520e+00
4.043262034300875718e-01,2.347450303217237355e+00
4.123212057614747406e-01,2.372725991561914771e+00
4.203162080928619648e-01,2.397019423904718671e+00
4.283112104242491336e-01,2.466923547561288288e+00
4.363062127556363023e-01,2.488893083179918087e+00
4.443012150870235266e-01,2.509988449731621607e+00
4.522962174184106954e-01,2.530242302476200411e+00
4.602912197497979196e-01,2.549686144256892995e+00
4.682862220811850884e-01,2.568349980226561247e+00
4.762812244125722572e-01,2.624360996297841364e+00
4.842762267439594814e-01,2.641169151360768463e+00
4.922712290753466502e-01,2.657289569365126169e+00
5.002662314067338745e-01,2.672747711056357556e+00
5.082612337381210432e-01,2.687567954946446847e+00
5.162562360695082120e-01,2.701773573700281261e+00
5.242512384008953807e-01,2.715386719291805306e+00
5.322462407322826605e-01,2.758290419150070338e+00
5.402412430636698293e-01,2.770513802244727763e+00
5.482362453950569980e-01,2.782213425700409193e+00
5.562312477264441668e-01,2.793407398482329107e+00
5.642262500578313356e-01,2.804112993404641152e+00
5.722212523892185043e-01,2.814346607335466821e+00
5.802162547206056731e-01,2.848892137060485386e+00
5.882112570519929529e-01,2.858033492218719829e+00
5.962062593833801216e-01,2.866754296902420229e+00
6.042012617147672904e-01,2.875067747786273387e+00
6.121962640461544591e-01,2.882986240446453241e+00
6.201912663775416279e-01,2.890521540688686386e+00
6.281862687089287967e-01,2.897684767543428297e+00
6.361812710403160764e-01,2.925330164179344994e+00
6.441762733717032452e-01,2.931649192193210407e+00
6.521712757030904140e-01,2.937631804412731196e+00
6.601662780344775827e-01,2.943286705139090742e+00
6.681612803658647515e-01,2.948622000453534397e+00
6.761562826972519202e-01,2.953645309859906476e+00
6.841512850286392000e-01,2.976791396429452341e+00
6.921462873600263688e-01,2.981120491556656926e+00
7.001412896914135375e-01,2.985163089407822490e+00
7.081362920228007063e-01,2.988924860855054710e+00
7.161312943541878751e-01,2.992411085587395103e+00
7.241262966855750438e-01,2.995626617841337769e+00
7.321212990169623236e-01,2.998575910143876921e+00
7.401163013483494924e-01,3.018489962385368930e+00
7.481113036797366611e-01,3.020864745413696539e+00
7.561063060111238299e-01,3.022989693981385617e+00
7.641013083425109986e-01,3.024867715425085368e+00
7.720963106738981674e-01,3.026501388273147519e+00
7.800913130052854472e-01,3.027892936014434877e+00
7.880863153366726159e-01,3.029044242754654448e+00
7.960813176680597847e-01,3.078482667838334574e+00
8.040763199994469534e-01,3.079084655826594741e+00
8.120713223308341222e-01,3.079460588463503345e+00
8.200663246622212910e-01,3.079610973257497442e+00
8.280613269936085707e-01,3.079536021055639061e+00
8.360563293249957395e-01,3.079235614807867893e+00
8.440513316563829083e-01,3.115561555539258176e+00
8.520463339877700770e-01,3.114821808091061683e+00
8.600413363191572458e-01,3.113863875129791570e+00
8.680363386505445256e-01,3.112686384921865557e+00
8.760313409819316943e-01,3.111287629800308707e+00
8.840263433133188631e-01,3.109665592271945833e+00
8.920213456447060318e-01,3.107817907196737561e+00
9.000163479760932006e-01,3.137393544481551722e+00
9.080113503074803694e-01,3.135171864746002512e+00
9.160063526388676491e-01,3.132724757890230194e+00
9.240013549702548179e-01,3.130048544376104136e+00
9.319963573016419867e-01,3.127139174112065323e+00
9.399913596330291554e-01,3.123992235772754089e+00
9.479863619644163242e-01,3.144596883360889716e+00
9.559813642958034929e-01,3.141052500982229656e+00
9.639763666271907727e-01,3.137261410245186344e+00
9.719713689585779415e-01,3.133217605492819580e+00
9.799663712899651102e-01,3.128914624847595416e+00
9.879613736213522790e-01,3.124345531047873603e+00
9.959563759527394478e-01,3.119502912976401809e+00
1.003951378284126728e+00,3.132909610490379304e+00
1.011946380615514007e+00,3.127601965464517519e+00
1.019941382946901065e+00,3.122000592649293971e+00
1.027936385278288345e+00,3.116095918634652406e+00
1.035931387609675403e+00,3.109877738896397403e+00
1.043926389941062682e+00,3.103335192753967853e+00
1.051921392272449740e+00,3.111366846587081181e+00
1.059916394603837020e+00,3.104246155754181835e+00
1.067911396935224078e+00,3.096768452177649955e+00
1.075906399266611357e+00,3.088919886575352880e+00
1.083901401597998637e+00,3.080685760121054440e+00
1.091896403929385695e+00,3.072050445698512267e+00
1.099891406260772975e+00,3.062997349256720181e+00
1.107886408592160032e+00,3.063285807367301494e+00
1.115881410923547312e+00,3.053378769290758132e+00
1.123876413254934592e+00,3.042998285094309807e+00
1.131871415586321650e+00,3.032123140350272639e+00
1.139866417917708930e+00,3.020730826342318931e+00
1.147861420249095987e+00,3.008797424492808847e+00
1.155856422580483267e+00,2.996297539156191458e+00
1.163851424911870325e+00,2.986882400384821779e+00
1.171846427243257605e+00,2.973076374533696775e+00
1.179841429574644884e+00,2.958612795349144342e+00
1.187836431906031942e+00,2.943459041913402796e+00
1.195831434237419222e+00,2.927580505349680173e+00
1.203826436568806280e+00,2.910940422568679686e+00
1.211821438900193559e+00,2.894345888384009857e+00
1.219816441231580839e+00,2.875899173120274988e+00
1.227811443562967897e+00,2.856558123505377189e+00
1.235806445894355177e+00,2.836275725756645549e+00
1.243801448225742234e+00,2.815002100829235410e+00
1.251796450557129514e+00,2.792684460542392610e+00
1.259791452888516572e+00,2.769266878836833978e+00
1.267786455219903852e+00,2.744327939257488413e+00
1.275781457551291131e+00,2.718330945120388087e+00
1.283776459882678189e+00,2.691035967266175000e+00
1.291771462214065469e+00,2.662372948569150743e+00
1.299766464545452527e+00,2.632268098150241542e+00
1.307761466876839807e+00,2.600643963070474740e+00
1.315756469208227086e+00,2.564130057656412554e+00
1.323751471539614144e+00,2.528895973673379594e+00
1.331746473871001424e+00,2.491873113399980522e+00
1.339741476202388482e+00,2.452969253173479469e+00
1.347736478533775761e+00,2.412089187733484685e+00
1.355731480865163041e+00,2.369135061466198788e+00
1.363726483196550099e+00,2.324007056143567063e+00
1.371721485527937379e+00,2.269055187141238772e+00
1.379716487859324436e+00,2.218807394776255215e+00
1.387711490190711716e+00,2.166069293853522204e+00
1.395706492522098774e+00,2.110744437860025080e+00
1.403701494853486054e+00,2.052741281874633117e+00
1.411696497184873333e+00,1.991975617555938216e+00
1.419691499516260391e+00,1.913445250647774154e+00
1.427686501847647671e+00,1.846261003357223984e+00
1.435681504179034729e+00,1.776143143170771710e+00
1.443676506510422008e+00,1.703078714814570960e+00
1.451671508841809288e+00,1.627083914934526421e+00
1.459666511173196346e+00,1.548210106518457252e+00
1.467661513504583626e+00,1.466551049712457422e+00
1.475656515835970684e+00,1.356666923999495067e+00
1.483651518167357963e+00,1.269512897395905560e+00
1.491646520498745021e+00,1.180301109005945204e+00
1.499641522830132301e+00,1.089393242625343650e+00
1.507636525161519581e+00,9.972337561708701781e-01
1.515631527492906638e+00,9.043558222761590715e-01
1.523626529824293918e+00,8.113866463335069890e-01
1.531621532155680976e+00,6.877722546307184492e-01
1.539616534487068256e+00,5.980052111064537712e-01
1.547611536818455535e+00,5.108882969038445188e-01
1.555606539149842593e+00,4.274101135800806861e-01
1.563601541481229873e+00,3.486125007786365360e-01
1.571596543812616931e+00,2.755677266148754412e-01
1.579591546144004210e+00,1.908183610866480140e-01
1.587586548475391268e+00,1.350720140921824186e-01
1.595581550806778548e+00,8.833464467406856868e-02
1.603576553138165828e+00,5.142695794828763128e-02
1.611571555469552885e+00,2.502352886000656224e-02
1.619566557800940165e+00,9.622782160375134911e-03
1.627561560132327223e+00,5.524666622602864355e-03
1.635556562463714503e+00,1.348732553179833593e-02
1.643551564795101783e+00,3.452085678792281287e-02
1.651546567126488840e+00,6.622426547510282258e-02
1.659541569457876120e+00,1.080209954083632962e-01
1.667536571789263178e+00,1.591742951946769902e-01
1.675531574120650458e+00,2.188185724041293578e-01
1.683526576452037737e+00,2.935218007726341782e-01
1.691521578783424795e+00,3.677170959380858806e-01
1.699516581114812075e+00,4.472214645508673092e-01
1.707511583446199133e+00,5.310068841718875721e-01
1.715506585777586412e+00,6.180803072821202671e-01
1.723501588108973470e+00,7.075039504915361377e-01
1.731496590440360750e+00,7.984112180547553450e-01
1.739491592771748030e+00,8.950287492239666909e-01
1.747486595103135087e+00,9.864738206444275681e-01
1.755481597434522367e+00,1.077281117938064359e+00
1.763476599765909425e+00,1.166937014600311073e+00
1.771471602097296705e+00,1.255011141782329531e+00
1.779466604428683985e+00,1.341150722450555888e+00
1.787461606760071042e+00,1.425846352768102010e+00
1.795456609091458322e+00,1.507088532381019030e+00
1.803451611422845380e+00,1.585748854993956014e+00
1.811446613754232660e+00,1.661716632477362898e+00
1.819441616085619717e+00,1.734922850874641709e+00
1.827436618417006997e+00,1.805333839426543463e+00
1.835431620748394277e+00,1.872945365855051225e+00
1.843426623079781335e+00,1.934590333302914855e+00
1.851421625411168614e+00,1.996630280910254296e+00
1.859416627742555672e+00,2.055997767679467625e+00
1.867411630073942952e+00,2.112759173517274380e+00
1.875406632405330232e+00,2.166990051832399011e+00
1.883401634736717289e+00,2.218772649550198484e+00
1.891396637068104569e+00,2.268193777188851179e+00
1.899391639399491627e+00,2.302953597158829968e+00
1.907386641730878907e+00,2.348076456073517004e+00
1.915381644062266187e+00,2.391115743521105230e+00
1.923376646393653244e+00,2.432160628696568683e+00
1.931371648725040524e+00,2.471299041279660713e+00
1.939366651056427582e+00,2.508617088172112375e+00
1.947361653387814862e+00,2.524419538763383208e+00
1.955356655719201919e+00,2.558621242512300942e+00
1.963351658050589199e+00,2.591246857614741828e+00
1.971346660381976479e+00,2.622370558632336479e+00
1.979341662713363537e+00,2.652063592660223179e+00
1.987336665044750816e+00,2.680394209080087187e+00
1.995331667376137874e+00,2.707427642138668489e+00
2.003326669707525376e+00,2.710468375116552142e+00
2.011321672038912656e+00,2.735407887626721379e+00
2.019316674370299491e+00,2.759223849453875221e+00
2.027311676701686771e+00,2.781969192457257378e+00
2.035306679033074051e+00,2.803694232974626832e+00
2.043301681364461331e+00,2.824446731164055979e+00
2.051296683695848166e+00,2.814840248826244284e+00
2.059291686027235446e+00,2.834159246052664560e+00
2.067286688358622726e+00,2.852626576062624597e+00
2.075281690690010006e+00,2.870280448124594042e+00
2.083276693021396841e+00,2.887157053723397038e+00
2.091271695352784121e+00,2.903290693927866872e+00
2.099266697684171401e+00,2.918713827680219364e+00
2.107261700015558681e+00,2.904037522873779587e+00
2.115256702346945961e+00,2.918471218820831048e+00
2.123251704678332796e+00,2.932272024343236971e+00
2.131246707009720076e+00,2.945465943170369361e+00
2.139241709341107356e+00,2.958077576256626706e+00
2.147236711672494636e+00,2.970130224901299520e+00
2.155231714003881915e+00,2.945020794692658761e+00
2.163226716335268751e+00,2.956379846147692891e+00
2.171221718666656031e+00,2.967230811643710719e+00
2.179216720998043311e+00,2.977592396600413860e+00
2.187211723329430590e+00,2.987482287205050380e+00
2.195206725660817870e+00,2.996917195953703317e+00
2.203201727992204706e+00,3.005912937537935647e+00
2.211196730323591986e+00,2.975905296018283686e+00
2.219191732654979266e+00,2.984372146929317626e+00
2.227186734986366545e+00,2.992430378203592145e+00
2.235181737317753381e+00,3.000092660940214095e+00
2.243176739649140661e+00,3.007370938744502897e+00
2.251171741980527941e+00,3.014276458852707119e+00
2.259166744311915220e+00,3.020819820200706385e+00
2.267161746643302500e+00,2.985362726668913780e+00
2.275156748974689336e+00,2.991452718471121042e+00
2.283151751306076616e+00,2.997196818208795133e+00
2.291146753637463895e+00,3.002603359138818373e+00
2.299141755968851175e+00,3.007680115242046703e+00
2.307136758300238455e+00,3.012434363873014664e+00
2.315131760631625291e+00,2.972239365778431175e+00
2.323126762963012570e+00,2.976546049092985147e+00
2.331121765294399850e+00,2.980537093701735252e+00
2.339116767625787130e+00,2.984217925160479457e+00
2.347111769957174410e+00,2.987593552084904847e+00
2.355106772288561245e+00,2.990668522927482531e+00
2.363101774619948525e+00,2.993446985768378088e+00
2.371096776951335805e+00,2.949610718825742772e+00
2.379091779282723085e+00,2.951895570657070866e+00
2.387086781614110365e+00,2.953881743497666967e+00
2.395081783945497200e+00,2.955571798719767607e+00
2.403076786276884480e+00,2.956967936130091790e+00
2.411071788608271760e+00,2.958071946109284145e+00
2.419066790939659040e+00,2.909909537120589196e+00
2.427061793271046319e+00,2.910429525139059059e+00
2.435056795602433155e+00,2.910647749381464422e+00
2.443051797933820435e+00,2.910564502285059696e+00
2.451046800265207715e+00,2.910179686867133686e+00
2.459041802596594994e+00,2.909492848488659522e+00
2.467036804927981830e+00,2.908503137709456343e+00
2.475031807259369110e+00,2.852986145471967383e+00
2.483026809590756390e+00,2.851255943016526295e+00
2.491021811922143669e+00,2.849203589951373239e+00
2.499016814253530949e+00,2.846826640028857103e+00
2.507011816584917785e+00,2.844122273289982239e+00
2.515006818916305065e+00,2.841087269579621655e+00
2.523001821247692344e+00,2.780753044877372737e+00
2.530996823579079624e+00,2.776785750725558444e+00
2.538991825910466904e+00,2.772459903491695687e+00
2.546986828241853740e+00,2.767770531059352557e+00
2.554981830573241020e+00,2.762712194770039709e+00
2.562976832904628299e+00,2.757279033482247677e+00
2.570971835236015579e+00,2.751464731581074741e+00
2.578966837567402859e+00,2.683057725826906381e+00
2.586961839898789695e+00,2.676037545470248968e+00
2.594956842230176974e+00,2.668596928602995799e+00
2.602951844561564254e+00,2.660727583323627243e+00
2.610946846892951534e+00,2.652420688268674720e+00
2.618941849224338814e+00,2.643666935989028133e+00
2.626936851555725649e+00,2.634456477423383625e+00
2.634931853887112929e+00,2.560545985774334010e+00
2.642926856218500209e+00,2.549821446785927481e+00
2.650921858549887489e+00,2.538589934114079849e+00
2.658916860881274769e+00,2.526839518114986305e+00
2.666911863212661604e+00,2.514557706757046152e+00
2.674906865544048884e+00,2.501731491311665057e+00
2.682901867875436164e+00,2.421085638536217832e+00
2.690896870206823444e+00,2.406383838108896889e+00
2.698891872538210279e+00,2.391078303901718716e+00
2.706886874869597559e+00,2.375154209417029261e+00
2.714881877200984839e+00,2.358596238988724281e+00
2.722876879532372119e+00,2.341388579030485140e+00
2.730871881863759398e+00,2.323514974082915963e+00
2.738866884195146234e+00,2.234245791882959686e+00
2.746861886526533514e+00,2.214090577518141867e+00
2.754856888857920794e+00,2.193205885119342557e+00
2.762851891189308073e+00,2.171575022355771711e+00
2.770846893520695353e+00,2.149181110698990427e+00
2.778841895852082189e+00,2.126007129158623332e+00
2.786836898183469469e+00,2.031099477086419025e+00
2.794831900514856748e+00,2.005374787117371493e+00
2.802826902846244028e+00,1.978818249203968538e+00
2.810821905177631308e+00,1.951415523997620083e+00
2.818816907509018144e+00,1.923152793589259391e+00
2.826811909840405423e+00,1.894016915305001048e+00
2.834806912171792703e+00,1.863995541370769393e+00
2.842801914503179983e+00,1.757637371368915513e+00
2.850796916834567263e+00,1.724928187652036815e+00
2.858791919165954099e+00,1.691326073534780150e+00
2.866786921497341378e+00,1.656828380215966456e+00
2.874781923828728658e+00,1.621434538019127070e+00
2.882776926160115938e+00,1.585146449642444777e+00
2.890771928491503218e+00,1.476440505121333402e+00
2.898766930822890053e+00,1.437778164794645486e+00
2.906761933154277333e+00,1.398298184654100496e+00
2.914756935485664613e+00,1.358021418355795928e+00
2.922751937817051893e+00,1.316973119972612905e+00
2.930746940148438728e+00,1.275183030218286495e+00
2.938741942479826008e+00,1.232686031344538469e+00
2.946736944811213288e+00,1.119497155930843979e+00
2.954731947142600568e+00,1.075574254542444930e+00
2.962726949473987847e+00,1.031185390876034225e+00
2.970721951805374683e+00,9.863969908380489926e-01
2.978716954136761963e+00,9.412823807333611237e-01
2.986711956468149243e+00,8.959216237887954737e-01
2.994706958799536523e+00,8.504020671533337739e-01
3.002701961130923802e+00,7.421662807558472297e-01
3.010696963462310638e+00,6.972833137949409066e-01
3.018691965793697918e+00,6.527040639882996098e-01
3.026686968125085198e+00,6.085512603311047375e-01
3.034681970456472477e+00,5.649536304267638309e-01
3.042676972787859757e+00,5.220455326075726932e-01
3.050671975119246593e+00,4.293485068239800140e-01
3.058666977450633873e+00,3.897748304087709781e-01
3.066661979782021152e+00,3.514978300630550168e-01
3.074656982113408432e+00,3.146679085436757672e-01
3.082651984444795712e+00,2.794359818855979838e-01
3.090646986776182548e+00,2.459518194609258135e-01
3.098641989107569827e+00,2.143628954960835886e-01
3.106636991438957107e+00,1.515856589324632575e-01
3.114631993770344387e+00,1.268019071642746409e-01
3.122626996101731223e+00,1.044730371679063324e-01
3.130621998433118502e+00,8.471162476484496440e-02
3.138617000764505782e+00,6.761954413604438774e-02
3.146612003095893062e+00,5.328642678354707923e-02
3.154607005427280342e+00,2.963848828749147610e-02
3.162602007758667177e+00,2.415941728248832687e-02
3.170597010090054457e+00,2.168254061564245730e-02
3.178592012421441737e+00,2.222035056349391802e-02
3.186587014752829017e+00,2.576886024225872804e-02
3.194582017084216297e+00,3.230769406685848888e-02
3.202577019415603132e+00,4.180037427644815728e-02
3.210572021746990412e+00,6.732715408393852297e-02
3.218567024078377692e+00,8.559108765142141306e-02
3.226562026409764972e+00,1.065470496248380611e-01
3.234557028741152251e+00,1.300844560619436596e-01
3.242552031072539087e+00,1.560821114235936558e-01
3.250547033403926367e+00,1.844094411898754282e-01
3.258542035735313647e+00,2.499027984763110000e-01
3.266537038066700926e+00,2.850776818151119496e-01
3.274532040398088206e+00,3.220164630725522725e-01
3.282527042729475042e+00,3.605583857835649719e-01
3.290522045060862322e+00,4.005425970450424700e-01
3.298517047392249602e+00,4.418093467427552379e-01
3.306512049723636881e+00,4.842009635745663787e-01
3.314507052055024161e+00,5.797141307139688227e-01
3.322502054386410997e+00,6.255265334990058879e-01
3.330497056717798277e+00,6.718667210413745705e-01
3.338492059049185556e+00,7.185973252557176227e-01
3.346487061380572836e+00,7.655883792982011160e-01
3.354482063711959672e+00,8.127173115738713927e-01
3.362477066043346952e+00,8.598694948225864554e-01
3.370472068374734231e+00,9.722972966438266917e-01
3.378467070706121511e+00,1.019939482979268286e+00
3.386462073037508791e+00,1.067185357432386628e+00
3.394457075368895627e+00,1.113957656229133120e+00
3.402452077700282906e+00,1.160186931767026808e+00
3.410447080031670186e+00,1.205810838561589549e+00
3.418442082363057466e+00,1.320057545800724652e+00
3.426437084694444746e+00,1.364504504799282314e+00
3.434432087025831581e+00,1.408118737739152637e+00
3.442427089357218861e+00,1.450869475833521216e+00
3.450422091688606141e+00,1.492731110233838754e+00
3.458417094019993421e+00,1.533682958458236545e+00
3.466412096351380701e+00,1.573708614680175533e+00
3.474407098682767536e+00,1.686053503978964585e+00
3.482402101014154816e+00,1.723954129639629018e+00
3.490397103345542096e+00,1.760858099616326777e+00
3.498392105676929376e+00,1.796767470451390958e+00
3.506387108008316655e+00,1.831686633889876514e+00
3.514382110339703491e+00,1.865622112870690907e+00
3.522377112671090771e+00,1.969553546629560170e+00
3.530372115002478051e+00,2.001139717433289444e+00
3.538367117333865330e+00,2.031750906275511692e+00
3.546362119665252610e+00,2.061402405425858397e+00
3.554357121996639446e+00,2.090110226259824788e+00
3.562352124328026726e+00,2.117890984520712561e+00
3.570347126659414005e+00,2.144761738163886378e+00
3.578342128990801285e+00,2.243011894984156651e+00
3.586337131322188121e+00,2.267586780108938438e+00
3.594332133653575401e+00,2.291300194215596608e+00
3.602327135984962680e+00,2.314171471151493353e+00
3.610322138316349960e+00,2.336219722386215114e+00
3.618317140647737240e+00,2.357463783851792893e+00
3.626312142979124076e+00,2.449952228609411531e+00
3.634307145310511356e+00,2.469092568350177874e+00
3.642302147641898635e+00,2.487487428907468878e+00
3.650297149973285915e+00,2.505155026095061022e+00
3.658292152304673195e+00,2.522113007703810972e+00
3.666287154636060031e+00,2.538378460163940975e+00
3.674282156967447310e+00,2.553967877044820423e+00
3.682277159298834590e+00,2.633415541624860801e+00
3.690272161630221870e+00,2.647236097733230320e+00
3.698267163961609150e+00,2.660435083824634894e+00
3.706262166292995985e+00,2.673026982766444792e+00
3.714257168624383265e+00,2.685025623634452518e+00
3.722252170955770545e+00,2.696444213692671177e+00
3.730247173287157825e+00,2.707295311643439284e+00
3.738242175618545104e+00,2.775954750594135767e+00
3.746237177949931940e+00,2.785355218498261731e+00
3.754232180281319220e+00,2.794232322145194569e+00
3.762227182612706500e+00,2.802596291440358822e+00
3.770222184944093780e+00,2.810456750530325731e+00
3.778217187275481059e+00,2.817822745915510740e+00
3.786212189606867895e+00,2.881880795488085401e+00
3.794207191938255175e+00,2.888008564782111431e+00
3.802202194269642455e+00,2.893676582792371388e+00
3.810197196601029734e+00,2.898891614111267945e+00
3.818192198932416570e+00,2.903659855238833298e+00
3.826187201263803850e+00,2.907986957127689731e+00
3.834182203595191130e+00,2.911878050270812590e+00
3.842177205926578409e+00,2.967438475464752923e+00
3.850172208257965689e+00,2.970301842208299181e+00
3.858167210589352525e+00,2.972751964423543836e+00
3.866162212920739805e+00,2.974791838384788889e+00
3.874157215252127084e+00,2.976423937835694478e+00
3.882152217583514364e+00,2.977650244639399979e+00
3.890147219914901644e+00,3.027881960912154113e+00
3.898142222246288480e+00,3.028227681030907892e+00
3.906137224577675759e+00,3.028181174302121637e+00
3.914132226909063039e+00,3.027742358701316139e+00
3.922127229240450319e+00,3.026910670477175103e+00
3.930122231571837599e+00,3.025685025951390550e+00
3.938117233903224434e+00,3.024063858985435171e+00
3.946112236234611714e+00,3.068893253895094819e+00
3.954107238565998994e+00,3.066507094964358249e+00
3.962102240897386274e+00,3.063728381025831560e+00
3.970097243228773554e+00,3.060553448795969356e+00
3.978092245560160389e+00,3.056978122019697430e+00
3.986087247891547669e+00,3.052997666061152415e+00
3.994082250222934949e+00,3.092464251320328206e+00
4.002077252554322229e+00,3.087803365101779995e+00
4.010072254885709953e+00,3.082731634220758909e+00
4.018067257217096788e+00,3.077242105308619635e+00
4.026062259548483624e+00,3.071327222067208318e+00
4.034057261879871348e+00,3.064978829075097888e+00
